x, y, z
493, 525, 715

495, 528, 715

495, 528, 715

495, 528, 715

493, 526, 711

493, 526, 711

493, 526, 711

484, 529, 717

484, 529, 717

484, 529, 717

490, 525, 712

490, 525, 712

492, 526, 713

492, 526, 713

486, 529, 713

486, 529, 713

491, 534, 723

491, 534, 723

495, 527, 712

495, 527, 712

487, 524, 710

487, 524, 710

484, 530, 716

484, 530, 716

478, 532, 714

478, 532, 714

486, 526, 712

486, 526, 712

485, 534, 718

485, 534, 718

487, 531, 716

487, 531, 716

484, 525, 708

484, 525, 708

478, 529, 712

478, 529, 712

478, 537, 719

478, 537, 719

478, 537, 719

489, 530, 705

489, 530, 705

475, 532, 718

475, 532, 718

475, 532, 718

473, 524, 709

473, 524, 709

473, 524, 709

482, 537, 721

482, 537, 721

481, 529, 708

481, 529, 708

472, 532, 714

472, 532, 714

480, 526, 709

480, 526, 709

480, 526, 709

479, 537, 718

479, 537, 718

482, 532, 715

482, 532, 715

471, 528, 708

471, 528, 708

472, 529, 715

472, 529, 715

486, 532, 713

486, 532, 713

473, 531, 713

473, 531, 713

475, 529, 713

475, 529, 713

481, 531, 716

481, 531, 716

476, 530, 712

476, 530, 712

476, 530, 714

476, 530, 714

475, 530, 712

475, 530, 712

476, 531, 713

476, 531, 713

479, 530, 712

479, 530, 712

473, 529, 712

473, 529, 712

478, 531, 714

478, 531, 714

478, 531, 714

478, 532, 711

478, 532, 711

478, 532, 711

476, 530, 713

476, 530, 713

476, 530, 713

474, 529, 712

474, 529, 712

479, 530, 717

479, 530, 717

479, 530, 717

477, 531, 712

477, 531, 712

472, 530, 712

472, 530, 712

478, 530, 712

478, 530, 712

478, 530, 712

480, 531, 709

480, 531, 709

474, 528, 712

474, 528, 712

478, 532, 719

478, 532, 719

477, 531, 714

477, 531, 714

477, 527, 712

477, 527, 712

473, 532, 714

473, 532, 714

480, 531, 713

480, 531, 713

476, 530, 715

476, 530, 715

475, 530, 711

475, 530, 711

477, 530, 714

477, 530, 714

478, 530, 714

478, 530, 714

473, 529, 712

473, 529, 712

474, 534, 718

474, 534, 718

474, 534, 718

481, 530, 717

481, 530, 717

488, 527, 710

488, 527, 710

490, 526, 710

490, 526, 710

490, 526, 710

483, 527, 715

483, 527, 715

483, 527, 715

467, 541, 715

467, 541, 715

472, 534, 725

472, 534, 725

472, 534, 725

491, 511, 703

491, 511, 703

496, 519, 712

496, 519, 712

494, 516, 705

494, 516, 705

483, 527, 716

483, 527, 716

477, 520, 714

477, 520, 714

481, 528, 720

481, 528, 720

483, 526, 715

483, 526, 715

486, 521, 713

486, 521, 713

486, 523, 717

486, 523, 717

481, 526, 716

481, 526, 716

484, 523, 712

484, 523, 712

480, 525, 715

480, 525, 715

483, 526, 718

483, 526, 718

483, 526, 718

481, 522, 708

481, 522, 708

486, 522, 715

486, 522, 715

483, 524, 716

483, 524, 716

483, 524, 716

484, 522, 712

484, 522, 712

484, 522, 712

481, 524, 715

481, 524, 715

483, 522, 714

483, 522, 714

480, 525, 715

480, 525, 715

480, 525, 715

485, 524, 717

485, 524, 717

489, 518, 707

489, 518, 707

494, 522, 716

494, 522, 716

484, 523, 715

484, 523, 715

480, 522, 713

480, 522, 713

483, 522, 715

483, 522, 715

486, 521, 714

486, 521, 714

486, 523, 715

486, 523, 715

480, 524, 714

480, 524, 714

480, 523, 716

480, 523, 716

485, 524, 712

485, 524, 712

478, 521, 708

478, 521, 708

486, 527, 721

486, 527, 721

480, 526, 714

480, 526, 714

478, 520, 717

478, 520, 717

478, 520, 717

487, 528, 720

487, 528, 720

487, 528, 720

481, 518, 705

481, 518, 705

481, 518, 705

469, 522, 712

469, 522, 712

472, 544, 727

472, 544, 727

472, 544, 727

476, 528, 711

476, 528, 711

484, 516, 702

484, 516, 702

487, 522, 715

487, 522, 715

474, 535, 719

474, 535, 719

471, 530, 712

471, 530, 712

477, 529, 714

477, 529, 714

477, 526, 711

477, 526, 711

479, 527, 715

479, 527, 715

477, 531, 716

477, 531, 716

481, 525, 712

481, 525, 712

477, 530, 715

477, 530, 715

481, 529, 713

481, 529, 713

478, 525, 711

478, 525, 711

471, 530, 714

471, 530, 714

475, 527, 712

475, 527, 712

484, 529, 716

484, 529, 716

484, 529, 716

474, 526, 710

474, 526, 710

481, 528, 714

481, 528, 714

469, 528, 715

469, 528, 715

469, 528, 715

483, 530, 714

483, 530, 714

483, 530, 714

475, 527, 713

475, 527, 713

478, 528, 714

478, 528, 714

478, 526, 712

478, 526, 712

479, 529, 713

479, 529, 713

477, 528, 714

477, 528, 714

474, 527, 712

474, 527, 712

482, 529, 714

482, 529, 714

475, 528, 712

475, 528, 712

478, 528, 714

478, 528, 714

479, 527, 714

479, 527, 714

479, 528, 713

479, 528, 713

473, 529, 715

473, 529, 715

480, 528, 715

480, 528, 715

479, 528, 712

479, 528, 712

473, 529, 712

473, 529, 712

473, 529, 712

480, 527, 714

480, 527, 714

479, 530, 715

479, 530, 715

